Top 2000 Bigram — Ortalama TF-IDF Skoru
Toplam bigram: 25,187
======================================================================
Sıra   Bigram                            Genel       1★       2★       3★       4★       5★
78     ürünü aldım                     0.00135  0.00176  0.00172  0.00155  0.00170  0.00116
79     bir sorun                       0.00132  0.00070  0.00075  0.00125  0.00163  0.00126
80     bir koku                        0.00131  0.00168  0.00236  0.00187  0.00179  0.00098
81     çok teşekkürler                 0.00126  0.00000  0.00002  0.00043  0.00059  0.00175
82     en iyisi                        0.00125  0.00046  0.00037  0.00075  0.00082  0.00157
83     fiyatına gayet                  0.00121  0.00002  0.00030  0.00121  0.00222  0.00092
84     sorun yok                       0.00120  0.00061  0.00091  0.00148  0.00165  0.00101
85     sıkıntı yok                     0.00120  0.00073  0.00100  0.00146  0.00131  0.00114
86     şiddetle tavsiye                0.00119  0.00013  0.00003  0.00057  0.00071  0.00157
87     fiyat çok                       0.00118  0.00017  0.00044  0.00096  0.00098  0.00137
88     düşünmeden alın                 0.00118  0.00000  0.00003  0.00067  0.00055  0.00159
89     orjinal ürün                    0.00117  0.00000  0.00004  0.00039  0.00048  0.00165
90     çok kısa                        0.00116  0.00062  0.00111  0.00108  0.00148  0.00109
91     oldukça iyi                     0.00116  0.00012  0.00023  0.00098  0.00185  0.00102
92     ulaştı teşekkürler              0.00116  0.00012  0.00013  0.00065  0.00080  0.00147
93     kargo çok                       0.00116  0.00048  0.00054  0.00072  0.00086  0.00139
94     fiyatına iyi                    0.00114  0.00008  0.00156  0.00322  0.00245  0.00033
95     geldi teşekkürler               0.00114  0.00002  0.00006  0.00043  0.00075  0.00150
96     cok guzel                       0.00112  0.00010  0.00030  0.00125  0.00074  0.00131
97     teşekkür ediyorum               0.00110  0.00010  0.00012  0.00071  0.00071  0.00139
98     çok kolay                       0.00110  0.00024  0.00050  0.00087  0.00140  0.00108
99     süper bir                       0.00109  0.00007  0.00013  0.00055  0.00062  0.00144
100    şık bir                         0.00109  0.00008  0.00019  0.00102  0.00147  0.00104
101    çok fazla                       0.00107  0.00245  0.00374  0.00193  0.00130  0.00068
102    ses kalitesi                    0.00105  0.00068  0.00147  0.00113  0.00127  0.00096
103    güzel kaliteli                  0.00105  0.00000  0.00016  0.00070  0.00086  0.00126
104    memnun kaldık                   0.00105  0.00008  0.00006  0.00046  0.00094  0.00127
105    bir kitap                       0.00104  0.00027  0.00054  0.00075  0.00107  0.00114
106    bir çok                         0.00104  0.00066  0.00099  0.00089  0.00106  0.00107
107    gayet uygun                     0.00103  0.00023  0.00018  0.00085  0.00132  0.00102
108    hiç düşünmeden                  0.00102  0.00002  0.00003  0.00041  0.00061  0.00136
109    kargo hızlı                     0.00101  0.00007  0.00051  0.00078  0.00076  0.00120
110    kullanıyorum çok                0.00100  0.00022  0.00029  0.00051  0.00093  0.00117
111    teslimat teşekkürler            0.00099  0.00005  0.00011  0.00041  0.00064  0.00130
112    ürün fiyatına                   0.00098  0.00005  0.00064  0.00132  0.00147  0.00080
113    bir sıkıntı                     0.00098  0.00050  0.00072  0.00110  0.00113  0.00093
114    bir daha                        0.00097  0.00266  0.00157  0.00109  0.00077  0.00092
115    daha uygun                      0.00097  0.00030  0.00057  0.00106  0.00109  0.00095
116    ürün iyi                        0.00097  0.00053  0.00074  0.00139  0.00128  0.00081
117    süper hızlı                     0.00097  0.00117  0.00030  0.00049  0.00060  0.00120
118    gönül rahatlığıyla              0.00096  0.00000  0.00013  0.00051  0.00067  0.00123
119    daha güzel                      0.00096  0.00036  0.00110  0.00114  0.00120  0.00087
120    fiyata çok                      0.00096  0.00011  0.00049  0.00097  0.00122  0.00092
121    hızlı şarj                      0.00096  0.00047  0.00050  0.00068  0.00068  0.00115
122    kalitesi çok                    0.00096  0.00139  0.00161  0.00082  0.00095  0.00094
123    malzeme kalitesi                0.00095  0.00180  0.00243  0.00127  0.00110  0.00075
124    kısa ulaştı                     0.00095  0.00024  0.00026  0.00079  0.00110  0.00097
125    daha fazla                      0.00094  0.00110  0.00162  0.00127  0.00119  0.00077
126    hizli kargo                     0.00093  0.00021  0.00016  0.00074  0.00043  0.00122
127    ürün geçti                      0.00091  0.00059  0.00082  0.00107  0.00130  0.00075
128    alınabilecek en                 0.00090  0.00000  0.00007  0.00042  0.00095  0.00103
129    uygun bir                       0.00089  0.00028  0.00087  0.00099  0.00126  0.00076
130    çok beğendi                     0.00088  0.00002  0.00012  0.00047  0.00099  0.00097
131    hızlı ulaştı                    0.00088  0.00014  0.00025  0.00042  0.00053  0.00114
132    fiyat kalite                    0.00087  0.00015  0.00016  0.00071  0.00103  0.00090
133    ürün geldi                      0.00087  0.00086  0.00060  0.00090  0.00088  0.00086
134    gayet memnunum                  0.00087  0.00000  0.00003  0.00065  0.00100  0.00092
135    gerçekten güzel                 0.00086  0.00004  0.00029  0.00058  0.00103  0.00091
136    gayet kaliteli                  0.00086  0.00003  0.00009  0.00049  0.00102  0.00093
137    çok çabuk                       0.00086  0.00137  0.00110  0.00104  0.00091  0.00078
138    gayet hızlı                     0.00086  0.00014  0.00026  0.00050  0.00077  0.00101
139    sorunsuz bir                    0.00085  0.00010  0.00008  0.00048  0.00066  0.00105
140    fiyat uygun                     0.00085  0.00024  0.00093  0.00111  0.00084  0.00083
141    ürün bu                         0.00085  0.00062  0.00057  0.00065  0.00086  0.00090
142    ürünü çok                       0.00084  0.00033  0.00070  0.00054  0.00084  0.00093
143    fiyata alınabilecek             0.00083  0.00005  0.00016  0.00073  0.00106  0.00081
144    gayet şık                       0.00082  0.00000  0.00022  0.00070  0.00103  0.00082
145    fiyat teşekkürler               0.00082  0.00020  0.00000  0.00020  0.00033  0.00116
146    uygun fiyatlı                   0.00082  0.00013  0.00038  0.00034  0.00084  0.00094
147    aldım gayet                     0.00081  0.00007  0.00008  0.00062  0.00106  0.00080
148    çok hoş                         0.00081  0.00013  0.00049  0.00060  0.00111  0.00077
149    pişman olmazsınız               0.00079  0.00000  0.00002  0.00057  0.00066  0.00095
150    kokusu var                      0.00078  0.00143  0.00142  0.00096  0.00097  0.00063
151    geldi çok                       0.00078  0.00076  0.00022  0.00047  0.00045  0.00098
152    güzel çok                       0.00077  0.00016  0.00056  0.00083  0.00074  0.00080
153    ideal bir                       0.00077  0.00009  0.00046  0.00115  0.00139  0.00051
154    ürünü sipariş                   0.00076  0.00053  0.00036  0.00093  0.00090  0.00071
155    almanızı tavsiye                0.00076  0.00067  0.00084  0.00078  0.00073  0.00077
156    güzel hızlı                     0.00075  0.00001  0.00008  0.00033  0.00067  0.00091
157    çok kötü                        0.00075  0.01212  0.00421  0.00168  0.00033  0.00012
158    hızlı sorunsuz                  0.00075  0.00003  0.00014  0.00030  0.00046  0.00099
159    çok yi                          0.00074  0.00014  0.00010  0.00020  0.00068  0.00091
160    ürünü kullanıyorum              0.00074  0.00042  0.00047  0.00079  0.00089  0.00070
161    kullanışlı tavsiye              0.00074  0.00004  0.00004  0.00058  0.00081  0.00079
162    bir tavsiye                     0.00072  0.00033  0.00014  0.00055  0.00069  0.00080
163    iyi teşekkürler                 0.00072  0.00003  0.00006  0.00038  0.00064  0.00086
164    ürün orjinal                    0.00071  0.00014  0.00022  0.00048  0.00042  0.00090
165    ürün bir                        0.00071  0.00068  0.00049  0.00049  0.00075  0.00074
166    bu kalite                       0.00071  0.00013  0.00013  0.00066  0.00057  0.00082
167    bu paraya                       0.00070  0.00095  0.00168  0.00118  0.00065  0.00058
168    daha çok                        0.00070  0.00079  0.00108  0.00088  0.00090  0.00057
169    güzel teşekkürler               0.00070  0.00002  0.00004  0.00038  0.00047  0.00089
170    en güzel                        0.00069  0.00008  0.00031  0.00039  0.00054  0.00084
171    ürün kesinlikle                 0.00069  0.00040  0.00012  0.00022  0.00044  0.00090
172    sıcak tutuyor                   0.00069  0.00029  0.00092  0.00089  0.00111  0.00051
173    sağlam bir                      0.00069  0.00030  0.00035  0.00060  0.00084  0.00067
174    iyi çok                         0.00069  0.00025  0.00046  0.00099  0.00069  0.00066
175    memnunum tavsiye                0.00069  0.00005  0.00000  0.00040  0.00068  0.00079
176    memnun kaldim                   0.00068  0.00003  0.00006  0.00056  0.00072  0.00074
177    bir kokusu                      0.00068  0.00099  0.00117  0.00070  0.00094  0.00055
178    daha kaliteli                   0.00068  0.00123  0.00140  0.00092  0.00081  0.00054
179    bir parfüm                      0.00068  0.00044  0.00062  0.00080  0.00091  0.00058
180    teşekkür ederiz                 0.00068  0.00005  0.00004  0.00040  0.00032  0.00091
181    gayet guzel                     0.00068  0.00007  0.00009  0.00078  0.00085  0.00064
182    cok memnun                      0.00068  0.00002  0.00011  0.00048  0.00049  0.00083
183    bir geldi                       0.00068  0.00019  0.00019  0.00026  0.00071  0.00077
184    hızlı kaliteli                  0.00067  0.00003  0.00005  0.00024  0.00028  0.00095
185    ürün fiyat                      0.00067  0.00020  0.00013  0.00063  0.00080  0.00068
186    ürün kısa                       0.00067  0.00030  0.00058  0.00077  0.00088  0.00060
187    cok güzel                       0.00067  0.00003  0.00015  0.00060  0.00068  0.00072
188    kısa bir                        0.00067  0.00053  0.00050  0.00063  0.00090  0.00060
189    ederim çok                      0.00065  0.00018  0.00000  0.00033  0.00056  0.00079
190    iyi çıktı                       0.00065  0.00003  0.00007  0.00034  0.00080  0.00069
191    iyi hızlı                       0.00064  0.00002  0.00007  0.00025  0.00054  0.00080
192    kalitesi tartışılmaz            0.00064  0.00007  0.00015  0.00047  0.00046  0.00078
193    performans ürünü                0.00064  0.00011  0.00014  0.00046  0.00071  0.00069
194    ürün harika                     0.00064  0.00003  0.00000  0.00030  0.00016  0.00093
195    ürün kalitesi                   0.00064  0.00039  0.00047  0.00069  0.00050  0.00070
196    kaldım tavsiye                  0.00064  0.00008  0.00000  0.00033  0.00051  0.00079
197    bir kullanıyorum                0.00063  0.00021  0.00042  0.00064  0.00069  0.00064
198    fiyatına güzel                  0.00063  0.00003  0.00036  0.00113  0.00117  0.00038
199    hoşuma gitti                    0.00063  0.00010  0.00017  0.00055  0.00091  0.00058
200    yorumlara aldım                 0.00063  0.00167  0.00155  0.00088  0.00050  0.00055
201    numara yıldız                   0.00063  0.00003  0.00000  0.00027  0.00008  0.00094
202    ulaştı çok                      0.00063  0.00007  0.00016  0.00029  0.00039  0.00081
203    beklediğimden daha              0.00063  0.00005  0.00025  0.00051  0.00070  0.00066
204    hediye aldım                    0.00062  0.00012  0.00023  0.00046  0.00081  0.00062
205    guzel bir                       0.00062  0.00002  0.00006  0.00047  0.00067  0.00068
206    uygun tavsiye                   0.00062  0.00003  0.00004  0.00040  0.00078  0.00065
207    çok büyük                       0.00062  0.00082  0.00110  0.00105  0.00081  0.00045
208    kargo uygun                     0.00062  0.00021  0.00000  0.00020  0.00021  0.00089
209    kargo bedava                    0.00062  0.00005  0.00011  0.00047  0.00069  0.00066
210    fiyata daha                     0.00062  0.00057  0.00062  0.00083  0.00065  0.00057
211    gayet memnun                    0.00061  0.00000  0.00008  0.00038  0.00084  0.00062
212    ürün sorunsuz                   0.00061  0.00002  0.00013  0.00027  0.00053  0.00075
213    işe yarıyor                     0.00061  0.00027  0.00075  0.00076  0.00079  0.00053
214    aldım bu                        0.00061  0.00048  0.00066  0.00069  0.00072  0.00056
215    bu üründen                      0.00061  0.00081  0.00074  0.00055  0.00065  0.00059
216    iyi bu                          0.00061  0.00017  0.00036  0.00078  0.00067  0.00058
217    bu fiyat                        0.00061  0.00017  0.00040  0.00051  0.00068  0.00063
218    ayrı bir                        0.00061  0.00025  0.00029  0.00038  0.00071  0.00063
219    iyi değil                       0.00060  0.00231  0.00380  0.00184  0.00066  0.00017
220    kargoya verildi                 0.00060  0.00030  0.00027  0.00051  0.00055  0.00066
221    bir fiyat                       0.00060  0.00006  0.00033  0.00039  0.00054  0.00069
222    kalitesi iyi                    0.00060  0.00040  0.00113  0.00117  0.00076  0.00043
223    ürün mükemmel                   0.00060  0.00003  0.00000  0.00016  0.00027  0.00084
224    ürünü bir                       0.00060  0.00068  0.00095  0.00064  0.00072  0.00053
225    kullanımı çok                   0.00059  0.00017  0.00012  0.00036  0.00075  0.00061
226    kargo kaliteli                  0.00059  0.00000  0.00005  0.00023  0.00024  0.00084
227    hoş bir                         0.00059  0.00026  0.00034  0.00065  0.00096  0.00047
228    sipariş ulaştı                  0.00059  0.00011  0.00020  0.00062  0.00054  0.00064
229    kargo güzel                     0.00059  0.00003  0.00003  0.00024  0.00042  0.00076
230    daha ucuz                       0.00058  0.00047  0.00061  0.00052  0.00064  0.00058
231    kaliteli kullanışlı             0.00058  0.00003  0.00012  0.00036  0.00056  0.00067
232    üründen çok                     0.00058  0.00013  0.00004  0.00022  0.00052  0.00070
233    büyük bir                       0.00058  0.00087  0.00095  0.00065  0.00066  0.00051
234    çok memnunuz                    0.00057  0.00009  0.00004  0.00036  0.00039  0.00072
235    orijinal ürün                   0.00057  0.00008  0.00002  0.00004  0.00020  0.00084
236    bence çok                       0.00057  0.00027  0.00045  0.00047  0.00076  0.00052
237    bu çok                          0.00056  0.00058  0.00068  0.00060  0.00051  0.00057
238    gerçekten kaliteli              0.00056  0.00000  0.00016  0.00039  0.00053  0.00064
239    ürün fiyatı                     0.00056  0.00004  0.00023  0.00043  0.00055  0.00062
240    kaliteli tavsiye                0.00056  0.00010  0.00000  0.00031  0.00041  0.00069
241    çok küçük                       0.00056  0.00226  0.00277  0.00079  0.00059  0.00035
242    kullanımı kolay                 0.00056  0.00010  0.00020  0.00049  0.00072  0.00054
243    çekim gücü                      0.00055  0.00087  0.00117  0.00062  0.00070  0.00045
244    şık kullanışlı                  0.00055  0.00000  0.00018  0.00029  0.00064  0.00060
245    çok basit                       0.00055  0.00091  0.00159  0.00071  0.00060  0.00045
246    ürün uygun                      0.00055  0.00007  0.00004  0.00017  0.00035  0.00073
247    çok pratik                      0.00055  0.00004  0.00008  0.00038  0.00062  0.00059
248    hepsi teşekkürler               0.00054  0.00002  0.00010  0.00055  0.00054  0.00058
249    kali teli                       0.00054  0.00000  0.00014  0.00015  0.00045  0.00069
250    performans çok                  0.00054  0.00002  0.00016  0.00017  0.00050  0.00066
251    geldi ürün                      0.00054  0.00057  0.00016  0.00041  0.00057  0.00057
252    fiyat iyi                       0.00054  0.00037  0.00041  0.00080  0.00060  0.00049
253    çok sağlam                      0.00054  0.00026  0.00050  0.00063  0.00055  0.00053
254    gayet yeterli                   0.00054  0.00002  0.00017  0.00030  0.00079  0.00052
255    teşekkürler ürün                0.00054  0.00006  0.00023  0.00024  0.00052  0.00063
256    kaliteli güzel                  0.00054  0.00003  0.00012  0.00025  0.00051  0.00063
257    gerçekten mükemmel              0.00053  0.00000  0.00003  0.00023  0.00018  0.00076
258    arkadaşlara tavsiye             0.00053  0.00013  0.00023  0.00049  0.00076  0.00049
259    piyasadaki en                   0.00053  0.00011  0.00002  0.00033  0.00026  0.00071
260    rahat bir                       0.00053  0.00001  0.00021  0.00064  0.00065  0.00050
261    çok uzun                        0.00053  0.00071  0.00082  0.00062  0.00067  0.00044
262    iş görüyor                      0.00053  0.00011  0.00046  0.00115  0.00082  0.00033
263    bir alet                        0.00052  0.00009  0.00043  0.00063  0.00069  0.00047
264    ederim teşekkürler              0.00052  0.00000  0.00000  0.00028  0.00039  0.00066
265    ürün daha                       0.00052  0.00064  0.00030  0.00057  0.00054  0.00051
266    gerçekten harika                0.00052  0.00001  0.00000  0.00020  0.00026  0.00071
267    mükemmel ürün                   0.00051  0.00000  0.00004  0.00010  0.00019  0.00075
268    fiyatı gayet                    0.00051  0.00016  0.00009  0.00052  0.00063  0.00050
269    ederim bu                       0.00051  0.00004  0.00011  0.00033  0.00051  0.00057
270    bir problem                     0.00051  0.00013  0.00031  0.00052  0.00064  0.00048
271    daha iyisi                      0.00051  0.00028  0.00032  0.00052  0.00043  0.00055
272    kargo geldi                     0.00050  0.00014  0.00021  0.00040  0.00048  0.00056
273    bir bu                          0.00050  0.00023  0.00029  0.00045  0.00045  0.00055
274    şık duruyor                     0.00050  0.00010  0.00024  0.00047  0.00056  0.00051
275    fiyatına oldukça                0.00050  0.00000  0.00015  0.00044  0.00077  0.00045
276    cok uygun                       0.00050  0.00000  0.00038  0.00033  0.00042  0.00059
277    parmak izi                      0.00050  0.00047  0.00028  0.00053  0.00045  0.00052
278    kurulumu çok                    0.00050  0.00013  0.00034  0.00051  0.00055  0.00050
279    süper ürün                      0.00050  0.00002  0.00006  0.00024  0.00019  0.00069
280    tavsiye etmem                   0.00049  0.00771  0.00376  0.00080  0.00026  0.00009
281    tavsiye edebilirim              0.00049  0.00000  0.00018  0.00042  0.00070  0.00046
282    gönül rahatlığı                 0.00049  0.00006  0.00002  0.00030  0.00037  0.00061
283    kokusu çok                      0.00049  0.00080  0.00103  0.00054  0.00057  0.00042
284    aldım gerçekten                 0.00049  0.00015  0.00008  0.00031  0.00048  0.00056
285    kurulumu kolay                  0.00049  0.00002  0.00035  0.00068  0.00062  0.00043
286    bu ürünün                       0.00048  0.00075  0.00084  0.00047  0.00060  0.00042
287    fiyata gayet                    0.00048  0.00000  0.00020  0.00051  0.00091  0.00035
288    daha uzun                       0.00048  0.00033  0.00062  0.00057  0.00071  0.00038
289    olanlara tavsiye                0.00048  0.00007  0.00018  0.00047  0.00070  0.00042
290    ürünü daha                      0.00048  0.00020  0.00052  0.00039  0.00064  0.00044
291    daha öncede                     0.00048  0.00029  0.00009  0.00043  0.00053  0.00049
292    düşünmeden alabilirsiniz        0.00048  0.00004  0.00004  0.00019  0.00021  0.00066
293    bence bu                        0.00047  0.00032  0.00043  0.00048  0.00058  0.00044
294    daha bir                        0.00047  0.00051  0.00037  0.00042  0.00055  0.00045
295    kullanıyorum gayet              0.00047  0.00000  0.00000  0.00051  0.00056  0.00047
296    farklı bir                      0.00047  0.00072  0.00076  0.00065  0.00058  0.00038
297    rahatlığıyla alabilirsiniz      0.00047  0.00000  0.00011  0.00024  0.00029  0.00061
298    bir yok                         0.00047  0.00059  0.00076  0.00053  0.00040  0.00046
299    aldım ürün                      0.00047  0.00068  0.00016  0.00040  0.00043  0.00049
300    harika ürün                     0.00047  0.00005  0.00003  0.00021  0.00018  0.00065
301    gücü çok                        0.00046  0.00068  0.00077  0.00036  0.00053  0.00044
302    ürün süper                      0.00046  0.00028  0.00009  0.00013  0.00016  0.00066
303    var bu                          0.00046  0.00079  0.00078  0.00052  0.00050  0.00041
304    ulaştı ürün                     0.00046  0.00011  0.00020  0.00035  0.00036  0.00054
305    oldukça kaliteli                0.00046  0.00003  0.00000  0.00030  0.00043  0.00053
306    kalitesi gayet                  0.00046  0.00005  0.00010  0.00029  0.00060  0.00046
307    kaliteli hızlı                  0.00046  0.00002  0.00000  0.00013  0.00028  0.00061
308    hızlı güvenilir                 0.00046  0.00006  0.00003  0.00021  0.00021  0.00062
309    daha büyük                      0.00046  0.00039  0.00116  0.00088  0.00067  0.00028
